LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Id,BeginP,EndP,SepPont,BeginCh,EndCh,Init,SepV,void,TypeInt,TypeFloat,TypeBool,TyperChar,BeginC,EndC,ConstInt,ConstFloat,ConstBool,ConstChar,ConstString,In,SepPV,Out,InsSIf,Return,OpAtr,OpLogAnd,OpLogOr,OpLogNot,OpArAd,OpArMult,OpArdiv,OpArMod,OpArExp,OpReD,OpReI,InsInWh,InsInfor,IntTo,$,S,INICIAL,LIST_FUNC,FUNC,MAIN_FUNC,PARAMITER_LIST,PARAMITER,TYPE_FUNC,TYPE,VECTOR_TYPE,CONST_TYPE,COMANDS_LIST,COMAND,RETURN,RETURN_TYPE,VAR_DECLARATION,DECLARATION_LIST,DECLARATION_TYPE,ATTRIBUTION,LIST_OPERATION_LG,OPERATION_RL,OPERATION_AR,ATRIBVALUE,OP_LG,OP_AR,OP_RE,FUNC_CALL,LI,LOOP
43,,r23,,r23,,,r23,,r23,,r23,r23,r23,r23,,r23,,,,,,r23,r23,r23,r23,r23,,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,r24,,r24,,,r24,,r24,,r24,r24,r24,r24,,r24,,,,,,r24,r24,r24,r24,r24,,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,r25,,r25,,,r25,,r25,,r25,r25,r25,r25,,r25,,,,,,r25,r25,r25,r25,r25,,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,r26,,r26,,,r26,,r26,,r26,r26,r26,r26,,r26,,,,,,r26,r26,r26,r26,r26,,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,r11,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,s33,s17,s18,s19,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,32,34,,,,,,,,,,,,,,,,,,,
49,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,s76,,,,,,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,62,63,64,,65,73,79,66,,,,,,,,69,,70
51,,r20,,,r20,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,80,,,,40,,
53,,r63,,,,,,,,,,,,,,,r63,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,r64,,,,,,,,,,,,,,,r64,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,r65,,,,,,,,,,,,,,,r65,r65,r65,r65,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,r66,,,,,,,,,,,,,,,r66,r66,r66,r66,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,r67,,,,,,,,,,,,,,,r67,r67,r67,r67,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,81,38,,,,40,,
59,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,83,84,85,38,,,,40,82,
60,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,s76,,,,,s87,,,,s17,s18,s19,s20,,,,,,,,s67,,s68,s71,s72,,,,,,,,,,,,s77,s78,,,,,,,,,,,74,75,,,88,64,,65,73,79,66,,,,,,,,69,,70
63,,r28,,,,,r28,,,,r28,r28,r28,r28,,,,,,,,r28,,r28,r28,r28,,,,,,,,,,,,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,r29,,,,,r29,,,,r29,r29,r29,r29,,,,,,,,r29,,r29,r29,r29,,,,,,,,,,,,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,r30,,,,,r30,,,,r30,r30,r30,r30,,,,,,,,r30,,r30,r30,r30,,,,,,,,,,,,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r31,,,,,r31,,r45,,r31,r31,r31,r31,,,,,,,,r31,r45,r31,r31,r31,,,,,,,,,,,,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,s89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,r35,,,,,r35,,,,r35,r35,r35,r35,,,,,,,,r35,,r35,r35,r35,,,,,,,,,,,,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,r36,,,,,r36,,,,r36,r36,r36,r36,,,,,,,,r36,,r36,r36,r36,,,,,,,,,,,,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,s39,,,,,,,,,,,,,,,s42,s43,s44,s45,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,92,,,,,93,84,85,38,,,,40,,
73,,r40,,,,,r40,,,,r40,r40,r40,r40,,,,,,,,r40,,r40,r40,r40,,,,,,,,,,,,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,s96,,,,,,,,,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,79,95,,,,,,,,,,
75,,s96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,79,95,,,,,,,,,,
76,,r46,s59,,,,r46,,r46,,r46,r46,r46,r46,s98,,,,,,,r46,r46,r46,r46,r46,s99,,,,,,,,,,,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,s101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
